mes,registros,precipitacion_media,precipitacion_mediana,proporcion_dias_lluviosos
1,1952,3.3276485655737704,0,0.23616803278688525
2,1763,3.8718661372660237,0,0.24787294384571754
3,1861,3.7986566362170877,0,0.2686727565824825
4,1710,4.577614035087719,0,0.30467836257309944
5,1765,3.877841359773371,0,0.284985835694051
6,1710,2.315526315789474,0,0.24444444444444444
7,1780,2.7128370786516856,0,0.26179775280898876
8,1797,3.20149693934335,0,0.24151363383416805
9,1740,3.9451724137931032,0,0.3103448275862069
10,1786,3.456746920492721,0,0.2799552071668533
11,1739,3.1052443933294995,0,0.23979298447383554
12,1796,3.298580178173719,0,0.2321826280623608
