termino,Estimate,Std. Error,t value,Pr(>|t|)
(Intercept),0.536285661912173,0.7777441993176311,0.6895399057719667,0.4904913939684282
hr_media,0.05593988032467251,0.006607856739627157,8.465661791546175,2.7164072037594273e-17
heliofania,-0.9211654810072429,0.022331542520320182,-41.24952318761882,0
recorrido_viento,0.01622887057225395,8.819092422538977e-4,18.401973575849805,5.110133888805061e-75
temp_aire_media,0.1615505855030769,0.020253910435293745,7.976266411327888,1.5870582619792432e-15
mes2,0.19997173045753802,0.34098740117669757,0.586449029399517,0.5575802778237278
mes3,-0.7033123102434279,0.34358448423879007,-2.0469850721042113,0.040672303961797884
mes4,-0.8023886939859805,0.37418514133988495,-2.1443627908708,0.032015580214336876
mes5,-1.7920003867650678,0.4149507790026648,-4.318585426136915,1.5777177835772138e-5
mes6,-3.496807565960413,0.44409045225133015,-7.874088596665927,3.602586565567138e-15
mes7,-2.8458260333510577,0.4449894282250159,-6.395266612743035,1.637361176930098e-10
mes8,-1.5003219368716012,0.42360796172892823,-3.5417699203483695,3.9833621696343783e-4
mes9,-1.3817967250382555,0.40454505033663196,-3.415680710685814,6.374644674048523e-4
mes10,-0.6172996904556024,0.372006463713791,-1.6593789373792485,0.09705479231381466
mes11,-0.055269048554202664,0.3524869193308176,-0.15679744558784978,0.8754060340152079
mes12,0.2821318689839521,0.3405922043030327,0.8283568015342267,0.40747813103093655
estacionLas Brujas,1.102641532117047,0.24163873107686762,4.563182099173853,5.067701618888858e-6
estacionSalto Grande,1.0643899689820286,0.2534513007903483,4.199583768806453,2.6853779572865936e-5
estacionTacuarembo<U+0301> La Magnolia,1.5627260524235638,0.24542132705319653,6.367523438926046,1.9619166872792602e-10
estacionTacuaremno<U+0301> Glencore,-0.01620769202568417,0.30530522832789436,-0.05308684726577067,0.9576632296013242
estacionTreinta y Tres Paso de la Laguna,-0.6749052313835225,0.2377977406343813,-2.8381482077292004,0.004542078658780827
